#year,Title,Director,Cast,Genre,level,
2012,Khel Mandala[8],Viju Mane,"Mangesh Desai, Ananya Devre, Uday Sabnis, Kushal Badrike",Drama,1,
2012,Zalay Dimag Kharab,Abhijeet Guru,"Nikhil Raut, Sanjay Mohite, Akshaya Bhingarde",Comedy,2,
2012,Ha Bharat Mazha,"Sumitra Bhave, Sunil Sukhtankar","Vikram Gokhale, Uttara Baokar, Renuka Daftardar",Drama,2,
2012,Kaksparsh[10],Mahesh Manjrekar,"Sachin Khedekar, Priya Bapat, Medha Manjrekar, Savita Malpekar, Ketaki Mategaonkar",Romance/ Drama,2,
2012,Ajintha[11],Nitin Chandrakant Desai,"Sonalee Kulkarni, Philip Scott Wallace, Manoj Kolhatkar",Romance/ Drama,1,
2012,Chintoo[12],Shrirang Godbole,"Subhankar Atre, Suhani Deshpande, Animesh Padhye, Subodh Bhave, Vibhawari Deshpande, Shriram Pendse, Dilip Prabhavalkar, Bharti Aacharekar",Children,1,
2012,Swapna Tujhe Ni Majhe,Ashok Kambli,"Neha Joshi, Omkar Karve, Milind Gunaji",Drama,2,
2012,Jay Jay Maharashtra Majha,Gautam Joglekar,"Hemant Dhome, Anusha Dandekar, Mahesh Manjrekar",Drama,1,
2012,Mala Ek Chanas Hava,Baal Mohite,"Makarand Anaspure, Deepali Sayyad, Kuldeep Pawar, Chetan Dalvi",Comedy,0,
2012,Saheb,K. Vilas,"Dr. Amol Kolhe, Mohan Joshi, Aniket Kelkar",Drama,1,
2012,Aamhi Ka Tisre,Ramesh More,"Milind Gawali, Sandesh Jadhav, Mangesh Mokashi",Drama,2,
2012,Dhagedore,Akshay Yashwant Datt,"Umesh Kamat, Sai Tamhankar, Bhargavi Chirmule",Suspense/ Drama,0,
2012,Lau Ka Laath,Vijay Patkar,"Vijay Patkar, Hemlata Bane, Vijay Kadam",Comedy,1,
