#Year,Title,Genre,Director,Cast,Level
2013,Sahasra,Thriller,K. Srikanth,"Rajiv Kanakala, Krishnudu, Shafi, Sri Ira, Reva",0
2013,Gatham,Romance,B S Raju,"Yuvraraj Sagar, Soumya, Hema, Shwetha, Harsha, Shafir",0
2013,Ramayya Vasthavayya,Romance,Harish Shankar,"Jr. NTR, Samantha Ruth Prabhu, Shruthi Hassan",1
2013,Doosukeltha,Romantic comedy,Veeru Potla,"Vishnu Manchu, Lavanya Tripathi, Brahmanandam, Ali",1
2013,Kharjooram,Romantic,GKR,"Raj Virat, Geetha Pallavi, Suman, M.S .Chowdary, Tagubothu Ramesh, Chitti babu, Kanth",0
2013,Bhai,Action,Veerabhadram Chowdary,"Akkineni Nagarjuna, Richa Gangopadhyay, Prasanna, Sonu Sood",1
2013,Chinni Chinni Aasha,Romantic drama,Dr Kiran,"Singeetam Srinivasa Rao, Tulasi, Ajay, Aparna Pillai, Dhanya, Rajeev[disambiguation needed], Inthuri Vasu, Gemini Suresh",0
2013,Satya 2,Gangster,Ram Gopal Varma,"Sharwanand, Anaika Soni, Anjali Gupta, Aradhna Gupta, Mahesh Thakur",1
2013,Chandee,Action,V. Samudra,"Priyamani, R. Sarathkumar, Krishnam Raju, Vinodkumar,Nagendra Babu, Ashish Vidhyarthi, Posani Krishna Murali",0
2013,Nenem…Chinna Pillana?,Romance,P. Sunil Kumar Reddy,"Rahul Ravindran, Tanvi Vyas, Sanjjanaa, Suman",0
2013,Kaali Charan,Political drama,Praveen Sri,"Chaitanya, Chandini, Kavitha, Pankaj Kesari",0
2013,Masala,Comedy drama,K. Vijaya Bhaskar,"Venkatesh, Ram Pothineni, Anjali, Shazahn Padamsee, M. S. Narayana, Kovai Sarala",1
2013,Entha Andanga Unnave,Romance,S. I. Mahendra,"Ajay Manthena, Jiyana, Kasi Viswanath, Sivanarayana",1
2013,Varna,Romance,Selvaraghavan,"Arya, Anushka Shetty, Raadhika Sarathkumar",0
2013,Venkatadri Express,Comedy,Merlapaka Gandhi,"Sundeep Kishan, Rakul Preet Singh, M. S. Narayana, Brahmaji, Jayaprakash Reddy",1
2013,Ishta Sakhi,Romance,Bharat Parepalli,"Varun, Bhaskar, Sriram, Anusmrithi",0
2013,Aadu Magaadra Bujji,Action,Krishnareddy Gangadasu,"Sudheer Babu, Asmita Sood, Poonam Kaur",1
2013,Prema Ishq Kaadhal,Romance,Pavan Sadineni,"Harshavardhan Rane, Vishnu Vardhan, Harish, Vithika Sheru, Ritu Varma, Sree Mukhi, Ravi Prakash, Satyam Rajesh",2
2013,Natho Nenu,Drama,Rahul Singh Kagwal,Jai Akash,1
