YEAR,Title,Genre,Director,Cast,LEVEL
2002,Thithikkum Ilamai,Drama,N. Chandra Mohan,"Dinesh, Althara, Nisha",1
2002,Dasavathaaram,Action Thriller,K. S. Ravikumar,"Kamal Haasan, Asin, Mallika Sherawat, Jayaprada",1
2002,Aayudham Seivom,Action,Udhayan,"Sundar C., Anjali",1
2002,Ayyavazhi,Drama,P. C. N. Anbazhagan,"Raja, Sanjai",1
2002,Pudhupandi,Drama,Karthik Kumar,"Pandiyarajan, Kanmani Raja",1
2002,Thiru Thiruda,Action,Don Gowtham,Don Gowtham,1
2002,Vallamai Tharayo,Romance,Madhumitha,"R. Parthiban, Chaya Singh",1
2002,Muniyandi Vilangial Moonramandu,Action,Thirumurugan,"Bharath, Poorna",1
2002,Subramaniapuram,Action,M. Sasikumar,"Jai, M. Sasikumar, Swati Reddy",1
2002,Uliyin Osai,Perodic,Ilavenil,"Vineeth, Keerthi Chawla",1
2002,Azhaipithal,Drama,Rajmohan,"Rajmohan, Heera",1
2002,Nalla Ponnu Ketta Payyan,Action,M. P. Balan,"Sriman, Madhumitha, Keerthi Chawla",1
2002,Manavan Ninaithal,Action,S. P. Gnanamozhi,"Rithik, Adhira",1
2002,Manava Manavigal,Drama,Rajagopal,"David, Rachana",1
2002,Pathu Pathu,Erotic,Sathya,Sona,1
2002,Sutta Pazham,Thriller,G. K. Vasan,"Mohan, Shubha Poonja",1
2002,Kuselan,Drama,P. Vasu,"Rajinikanth, Pasupathy, Meena, Nayantara",1
2002,Sathyam,Action,A. Rajasekhar,"Vishal, Nayantara, Upendra",1
2002,Ragasiya Snehithane,Thriller,Sujo Vishanth,"Vishwa, Lakshmi Rai",1
2002,Nayagan,Action Thriller,Saravan Sakthi,"J. K. Rithesh, Ramana, Sangeetha, Keerthi Chawla",1
2002,Dhaam Dhoom,Action Thriller,Jeeva,"Jayam Ravi, Kangana Ranaut, Lakshmi Rai",1
2002,Jayamkondaan,Romantic Action,R. Kannan,"Vinay Rai, Bhavana, Lekha Washington",1
2002,Ali Baba,Action,Neelan.K.Sekar,"Krishna Sekhar, Prakash Raj, Janani",1
2002,Dhanam,Drama,Siva,"Prem, Sangeetha",1
2002,Ki Mu,Romance,Majid,"Haasan, Sariga",1
2002,Saroja,Comedy Thriller,Venkat Prabhu,"Shiva, Vaibhav Reddy, S. P. B. Charan, Premji Amaran, Vega Tamotia",1
2002,Poi Solla Porom,Comedy,A. L. Vijay,"Nassar, Karthik Kumar, Piaa Bajpai",1
2002,Vasool,Adult,Rishiraj,"Rishiraj, Kiran Rathod",1
2002,Pandhayam,Romance,S. A. Chandrasekhar,"Nithin Sathya, Sindhu Tolani",1
